sample	treatment	GADPH	PR1	deltaCT	DDCT	relative_expression
601	control	1.867.301.784	2.960.454.334	10.93	0.71	0.6
602	control	1.898.648.276	3.074.559.171	11.76	1.54	0.3
603	control	2.011.378.253	2.954.551.241	9.43	-0.79	1.7
604	control	1.990.325.748	3.005.251.818	10.15	-0.07	1
605	control	2.099.793.617	2.981.895.449	8.82	-1.4	2.6
626	Mamestra	2.039.168.002	2.794.291.384	7.55	-2.67	6.4
627	Mamestra	1.939.199.222	3.265.089.306	13.26	3.04	0.1
628	Mamestra	2.011.803.471	2.865.233.615	8.53	-1.68	3.2
629	Mamestra	1.901.521.701	264.201.281	7.4	-2.81	7
607	Pieris	2.075.176.031	2.371.842.079	2.97	-7.25	152.4
608	Pieris	1.932.336.929	2.306.214.171	3.74	-6.48	89.2
609	Pieris	212.676.674	2.364.456.795	2.38	-7.84	229.4
610	Pieris	2.048.935.122	2.332.519.438	2.84	-7.38	166.9
