experiment,date experiment,plant,number,species,treatment,date generated,score
freeze_thaw,6-8-2018,SF48,1,brassicae,1 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,1,brassicae,1 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,1,brassicae,1 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,2,brassicae,1 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,2,brassicae,1 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,2,brassicae,1 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,3,brassicae,1 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,3,brassicae,1 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,3,brassicae,1 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,4,brassicae,1 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,4,brassicae,1 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,4,brassicae,1 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,5,brassicae,1 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,5,brassicae,1 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,5,brassicae,1 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,6,brassicae,1 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,6,brassicae,1 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,6,brassicae,1 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,7,brassicae,1 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,7,brassicae,1 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,7,brassicae,1 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,8,brassicae,1 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,8,brassicae,1 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,8,brassicae,1 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,1,brassicae,2 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,1,brassicae,2 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,1,brassicae,2 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,2,brassicae,2 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,2,brassicae,2 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,2,brassicae,2 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,3,brassicae,2 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,3,brassicae,2 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,3,brassicae,2 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,4,brassicae,2 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,4,brassicae,2 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,4,brassicae,2 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,5,brassicae,2 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,5,brassicae,2 cycles,31-7-2018,3
freeze_thaw,6-8-2018,SF48,5,brassicae,2 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,6,brassicae,2 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,6,brassicae,2 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,6,brassicae,2 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,7,brassicae,2 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,7,brassicae,2 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,7,brassicae,2 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,8,brassicae,2 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,8,brassicae,2 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,8,brassicae,2 cycles,31-7-2018,3
freeze_thaw,6-8-2018,SF48,1,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,1,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,1,brassicae,3 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,1,brassicae,3 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,1,brassicae,3 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,1,brassicae,3 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,1,brassicae,3 cycles,31-7-2018,3
freeze_thaw,6-8-2018,SF48,1,brassicae,3 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,1,brassicae,3 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,2,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,2,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,2,brassicae,3 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,2,brassicae,3 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,2,brassicae,3 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,2,brassicae,3 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,2,brassicae,3 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,2,brassicae,3 cycles,31-7-2018,3
freeze_thaw,6-8-2018,SF48,2,brassicae,3 cycles,31-7-2018,3
freeze_thaw,6-8-2018,SF48,3,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,3,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,3,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,3,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,3,brassicae,3 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,3,brassicae,3 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,3,brassicae,3 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,3,brassicae,3 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,3,brassicae,3 cycles,31-7-2018,2
freeze_thaw,6-8-2018,SF48,4,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,4,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,4,brassicae,3 cycles,31-7-2018,3
freeze_thaw,6-8-2018,SF48,4,brassicae,3 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,4,brassicae,3 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,4,brassicae,3 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,4,brassicae,3 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,4,brassicae,3 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,4,brassicae,3 cycles,31-7-2018,4
freeze_thaw,6-8-2018,SF48,5,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,5,brassicae,3 cycles,31-7-2018,0
freeze_thaw,6-8-2018,SF48,5,brassicae,3 cycles,31-7-2018,1
freeze_thaw,6-8-2018,SF48,5,brassicae,3 cycles,31-7-2018,3
freeze_thaw,6-8-2018,SF48,5,brassicae,3 cycles,31-7-2018,3
