Id	Accession	ctl_PC	PC_16:1_10	PC_16:1_5	PC_16:1_1	PC_18:1_10	PC_18:1_5	PC_18:1_1	ctl_EW400	EW400	ctl_EW1000	EW1000
1	WUR-01	0	0	0	0	0	0	0	0	0	0	0
2	WUR-01	0	0	0	0	0	0	0	0	0	0	0
3	WUR-01	0	0	0	0	0	0	0	0	0	0	0
4	WUR-01	0	0	0	0	0	0	0	0	0	0	0
5	WUR-01	0	0	0	0	0	0	0	0	0	0	0
6	WUR-01	0	0	0	0	0	0	0	0	0	0	0
7	WUR-01	0	0	0	0	0	0	0	0	0	0	0
8	WUR-01	0	0	0	0	0	0	0	0	0	0	0
9	WUR-01	0	0	0	0	0	0	0	0	0	0	0
10	WUR-01	0	0	0	0	0	0	0	0	0	0	0
11	WUR-01	0	0	0	0	0	0	0	0	0	0	0
12	WUR-01	0	0	0	0	0	0	0	0	0	0	0
13	WUR-01	0	0	0	0	0	0	0	0	0	0	0
14	WUR-01	0	0	0	0	0	0	0	0	0	0	0
15	WUR-01	0	0	0	0	0	0	0	0	0	0	0
1	WUR-02	0	0	0	0	0	0	0	0	2	0	4
2	WUR-02	0	0	0	0	0	0	0	0	3	0	4
3	WUR-02	0	0	0	0	0	0	0	1	2	0	3
4	WUR-02	0	0	0	0	0	0	0	0	3	0	4
5	WUR-02	0	0	0	0	0	0	0	0	4	0	3
6	WUR-02	0	0	0	0	0	0	0	0	3	0	4
7	WUR-02	0	0	0	0	0	0	0	0	2	0	4
8	WUR-02	0	0	0	0	0	0	0	1	3	0	4
9	WUR-02	0	0	0	0	0	0	0	0	3	0	4
10	WUR-02	0	0	0	0	0	0	0	0	4	0	4
11	WUR-02	0	0	0	0	0	0	0	0	3	0	3
12	WUR-02	0	0	0	0	0	0	0	0	4	0	2
13	WUR-02	0	0	0	0	0	0	0	1	3	0	3
14	WUR-02	0	0	0	0	0	0	0	0	2	0	4
15	WUR-02	0	0	0	0	0	0	0	0	4	0	3
